Trade No,Cumulative PnL INR,Peak,Drawdown INR,Drawdown %
1,-817.5,-817.5,0.0,-0.0
2,-1507.5,-817.5,-690.0,84.40366972477065
3,-4606.5,-817.5,-3789.0,463.4862385321101
4,-2400.0,-817.5,-1582.5,193.57798165137615
5,-5203.5,-817.5,-4386.0,536.5137614678898
6,-8230.5,-817.5,-7413.0,906.7889908256881
7,-3801.0,-817.5,-2983.5,364.95412844036696
8,10617.0,10617.0,0.0,0.0
9,2871.0,10617.0,-7746.0,-72.9584628426109
10,15466.5,15466.5,0.0,0.0
11,12453.0,15466.5,-3013.5,-19.484046164290564
12,10104.0,15466.5,-5362.5,-34.67170982445932
13,6826.5,15466.5,-8640.0,-55.86267093395403
14,8224.5,15466.5,-7242.0,-46.82378042866841
15,3957.0,15466.5,-11509.5,-74.4156725826787
16,21102.0,21102.0,0.0,0.0
17,25129.5,25129.5,0.0,0.0
18,18940.5,25129.5,-6189.0,-24.628424759744526
19,39042.0,39042.0,0.0,0.0
20,40255.5,40255.5,0.0,0.0
21,52827.0,52827.0,0.0,0.0
22,47400.0,52827.0,-5427.0,-10.273155772616276
23,43113.0,52827.0,-9714.0,-18.388324152422054
24,42678.0,52827.0,-10149.0,-19.21176671020501
25,50466.0,52827.0,-2361.0,-4.469305468794366
26,45024.0,52827.0,-7803.0,-14.770855812368675
27,53068.5,53068.5,0.0,0.0
28,57285.0,57285.0,0.0,0.0
29,57807.0,57807.0,0.0,0.0
30,63747.0,63747.0,0.0,0.0
31,63030.0,63747.0,-717.0,-1.1247588121793965
32,75034.5,75034.5,0.0,0.0
33,75219.0,75219.0,0.0,0.0
34,72742.5,75219.0,-2476.5,-3.29238623220197
35,78067.5,78067.5,0.0,0.0
36,76459.5,78067.5,-1608.0,-2.0597559804015755
37,70095.0,78067.5,-7972.5,-10.212316264770871
38,66789.0,78067.5,-11278.5,-14.447113075223363
39,71784.0,78067.5,-6283.5,-8.048803919684888
40,69778.5,78067.5,-8289.0,-10.61773465270439
41,65911.5,78067.5,-12156.0,-15.571140359304447
42,63267.0,78067.5,-14800.5,-18.958593524834278
43,69303.0,78067.5,-8764.5,-11.22682294168508
44,83089.5,83089.5,0.0,0.0
45,76801.5,83089.5,-6288.0,-7.567743216651923
46,89253.0,89253.0,0.0,0.0
47,83508.0,89253.0,-5745.0,-6.436758428288125
48,79597.5,89253.0,-9655.5,-10.818123760545864
49,75937.5,89253.0,-13315.5,-14.918826257940909
50,82345.5,89253.0,-6907.5,-7.739235655944338
51,99775.5,99775.5,0.0,0.0
52,95347.5,99775.5,-4428.0,-4.437963227445615
53,100879.5,100879.5,0.0,0.0
54,96208.5,100879.5,-4671.0,-4.6302767162803145
55,96531.0,100879.5,-4348.5,-4.3105883752397665
56,92080.5,100879.5,-8799.0,-8.722287481599334
57,88072.5,100879.5,-12807.0,-12.69534444560094
58,87801.0,100879.5,-13078.5,-12.964477421081588
59,94344.0,100879.5,-6535.5,-6.478521404249625
60,96355.5,100879.5,-4524.0,-4.484558309666483
61,94599.0,100879.5,-6280.5,-6.225744576450121
62,98136.0,100879.5,-2743.5,-2.719581282619363
63,92182.5,100879.5,-8697.0,-8.621176750479533
64,88669.5,100879.5,-12210.0,-12.103549284046808
65,111115.5,111115.5,0.0,0.0
66,107859.0,111115.5,-3256.5,-2.930734235997678
67,118131.0,118131.0,0.0,0.0
68,111013.5,118131.0,-7117.5,-6.025090789039287
69,106107.0,118131.0,-12024.0,-10.178530614318003
