Trade No,Cumulative PnL INR
1,-817.5
2,-1507.5
3,-4606.5
4,-2400.0
5,-5203.5
6,-8230.5
7,-3801.0
8,10617.0
9,2871.0
10,15466.5
11,12453.0
12,10104.0
13,6826.5
14,8224.5
15,3957.0
16,21102.0
17,25129.5
18,18940.5
19,39042.0
20,40255.5
21,52827.0
22,47400.0
23,43113.0
24,42678.0
25,50466.0
26,45024.0
27,53068.5
28,57285.0
29,57807.0
30,63747.0
31,63030.0
32,75034.5
33,75219.0
34,72742.5
35,78067.5
36,76459.5
37,70095.0
38,66789.0
39,71784.0
40,69778.5
41,65911.5
42,63267.0
43,69303.0
44,83089.5
45,76801.5
46,89253.0
47,83508.0
48,79597.5
49,75937.5
50,82345.5
51,99775.5
52,95347.5
53,100879.5
54,96208.5
55,96531.0
56,92080.5
57,88072.5
58,87801.0
59,94344.0
60,96355.5
61,94599.0
62,98136.0
63,92182.5
64,88669.5
65,111115.5
66,107859.0
67,118131.0
68,111013.5
69,106107.0
70,118822.5
71,118714.5
72,123522.0
73,120667.5
74,118999.5
75,118618.5
76,115513.5
77,113256.0
78,110109.0
79,107032.5
80,113091.0
81,109033.5
82,106761.0
83,105355.5
84,104328.0
85,101716.5
86,103930.5
87,113244.0
88,109227.0
89,110806.5
90,108648.0
91,111529.5
92,107044.5
93,103908.0
94,98203.5
95,97314.0
96,102774.0
97,100600.5
98,94696.5
99,100912.5
100,111045.0
101,109467.0
102,110976.0
103,106371.0
104,102999.0
105,125494.5
106,133969.5
107,135840.0
108,131743.5
109,126729.0
110,124698.0
111,117612.0
112,118989.0
113,114160.5
114,115645.5
115,112453.5
116,112645.5
117,109678.5
118,108220.5
119,107839.5
120,111678.0
121,108793.5
122,104707.5
123,112782.0
124,110577.0
125,107245.5
126,111090.0
127,110266.5
128,115083.0
129,142165.5
130,137217.0
131,136117.5
132,135822.0
133,140169.0
134,138289.5
135,132861.0
136,133744.5
137,130044.0
138,126550.5
139,135588.0
140,136488.0
141,133557.0
142,128926.5
143,126465.0
144,130492.5
145,127425.0
146,124326.0
147,119191.5
148,120496.5
149,117372.0
150,131091.0
151,128025.0
152,125640.0
153,122155.5
154,120678.0
155,120451.5
156,120691.5
157,123303.0
158,108933.0
159,105918.0
160,110454.0
161,107221.5
162,117169.5
163,113457.0
164,111022.5
165,107499.0
166,101673.0
167,98743.5
168,104595.0
169,110946.0
170,105559.5
171,101401.5
172,109164.0
173,108214.5
174,106962.0
175,104379.0
176,110977.5
177,109065.0
178,107404.5
179,112239.0
180,112524.0
181,118470.0
182,124023.0
183,123276.0
184,120414.0
185,137890.5
186,136974.0
187,135478.5
188,133944.0
189,129561.0
190,130009.5
191,127116.0
192,132907.5
193,127765.5
194,127869.0
195,125298.0
196,118782.0
197,111867.0
198,111099.0
199,111666.0
200,112141.5
201,112245.0
202,112695.0
203,132034.5
204,125325.0
205,120760.5
206,135303.0
207,133188.0
208,128839.5
209,148728.0
210,129049.5
211,136164.0
212,124621.5
213,117822.0
214,118921.5
215,114171.0
216,111604.5
217,106519.5
218,113031.0
219,118542.0
220,115690.5
221,138802.5
222,138699.0
223,134337.0
224,127041.0
225,131571.0
226,127576.5
227,128248.5
228,147145.5
229,153615.0
230,158533.5
231,154708.5
232,157750.5
233,156168.0
234,152673.0
235,149278.5
236,168325.5
237,170076.0
238,172113.0
239,183985.5
240,183613.5
241,180033.0
242,180985.5
243,186037.5
244,191613.0
245,186285.0
246,178411.5
247,172857.0
248,167349.0
249,161137.5
