Type,Entry Time,Exit Time,Entry Price,Exit Price,Points,PnL INR,Cumulative PnL INR
SHORT,2015-01-09 12:00:00+05:30,2015-01-09 15:10:00+05:30,18635.8,18663.05,-27.25,-817.5,-817.5
LONG,2015-01-09 15:10:00+05:30,2015-01-12 12:20:00+05:30,18663.05,18640.05,-23.0,-690.0,-1507.5
SHORT,2015-01-12 12:20:00+05:30,2015-01-12 14:00:00+05:30,18640.05,18743.35,-103.3,-3099.0,-4606.5
LONG,2015-01-12 14:00:00+05:30,2015-01-13 12:35:00+05:30,18743.35,18816.9,73.55,2206.5,-2400.0
SHORT,2015-01-13 12:35:00+05:30,2015-01-13 13:15:00+05:30,18816.9,18910.35,-93.45,-2803.5,-5203.5
LONG,2015-01-13 13:15:00+05:30,2015-01-13 14:20:00+05:30,18910.35,18809.45,-100.9,-3027.0,-8230.5
SHORT,2015-01-13 14:20:00+05:30,2015-01-14 14:15:00+05:30,18809.45,18661.8,147.65,4429.5,-3801.0
LONG,2015-01-14 14:15:00+05:30,2015-01-15 15:20:00+05:30,18661.8,19142.4,480.6,14418.0,10617.0
SHORT,2015-01-15 15:20:00+05:30,2015-01-19 09:25:00+05:30,19142.4,19400.6,-258.2,-7746.0,2871.0
LONG,2015-01-19 09:25:00+05:30,2015-01-21 14:15:00+05:30,19400.6,19820.45,419.85,12595.5,15466.5
SHORT,2015-01-21 14:15:00+05:30,2015-01-22 10:35:00+05:30,19820.45,19920.9,-100.45,-3013.5,12453.0
LONG,2015-01-22 10:35:00+05:30,2015-01-22 13:55:00+05:30,19920.9,19842.6,-78.3,-2349.0,10104.0
SHORT,2015-01-22 13:55:00+05:30,2015-01-22 15:15:00+05:30,19842.6,19951.85,-109.25,-3277.5,6826.5
LONG,2015-01-22 15:15:00+05:30,2015-01-23 10:25:00+05:30,19951.85,19998.45,46.6,1398.0,8224.5
SHORT,2015-01-23 10:25:00+05:30,2015-01-27 09:15:00+05:30,19998.45,20140.7,-142.25,-4267.5,3957.0
LONG,2015-01-27 09:15:00+05:30,2015-01-28 12:40:00+05:30,20140.7,20712.2,571.5,17145.0,21102.0
SHORT,2015-01-28 12:40:00+05:30,2015-01-29 15:00:00+05:30,20712.2,20577.95,134.25,4027.5,25129.5
LONG,2015-01-29 15:00:00+05:30,2015-01-30 11:05:00+05:30,20577.95,20371.65,-206.3,-6189.0,18940.5
SHORT,2015-01-30 11:05:00+05:30,2015-02-02 13:25:00+05:30,20371.65,19701.6,670.05,20101.5,39042.0
LONG,2015-02-02 13:25:00+05:30,2015-02-03 10:15:00+05:30,19701.6,19742.05,40.45,1213.5,40255.5
SHORT,2015-02-03 10:15:00+05:30,2015-02-04 13:05:00+05:30,19742.05,19323.0,419.05,12571.5,52827.0
LONG,2015-02-04 13:05:00+05:30,2015-02-04 15:15:00+05:30,19323.0,19142.1,-180.9,-5427.0,47400.0
SHORT,2015-02-04 15:15:00+05:30,2015-02-05 10:00:00+05:30,19142.1,19285.0,-142.9,-4287.0,43113.0
LONG,2015-02-05 10:00:00+05:30,2015-02-05 14:50:00+05:30,19285.0,19270.5,-14.5,-435.0,42678.0
SHORT,2015-02-05 14:50:00+05:30,2015-02-06 12:20:00+05:30,19270.5,19010.9,259.6,7788.0,50466.0
LONG,2015-02-06 12:20:00+05:30,2015-02-06 14:30:00+05:30,19010.9,18829.5,-181.4,-5442.0,45024.0
