Type,Entry Time,Exit Time,Signal,Entry Price,Exit Price,Points,PnL INR,Net PnL %,Cumulative PnL INR,Cumulative PnL %,Holding Time
SHORT,2015-01-09 12:00:00+05:30,2015-01-09 15:10:00+05:30,SHORT,18635.8,18663.05,-27.25,-817.5,-0.55,-817.5,-0.55,0 days 03:10:00
LONG,2015-01-09 15:10:00+05:30,2015-01-12 12:20:00+05:30,LONG,18663.05,18640.05,-23.0,-690.0,-0.46,-1507.5,-1.0,2 days 21:10:00
SHORT,2015-01-12 12:20:00+05:30,2015-01-12 14:00:00+05:30,SHORT,18640.05,18743.35,-103.3,-3099.0,-2.07,-4606.5,-3.07,0 days 01:40:00
LONG,2015-01-12 14:00:00+05:30,2015-01-13 12:35:00+05:30,LONG,18743.35,18816.9,73.55,2206.5,1.47,-2400.0,-1.6,0 days 22:35:00
SHORT,2015-01-13 12:35:00+05:30,2015-01-13 13:15:00+05:30,SHORT,18816.9,18910.35,-93.45,-2803.5,-1.87,-5203.5,-3.47,0 days 00:40:00
LONG,2015-01-13 13:15:00+05:30,2015-01-13 14:20:00+05:30,LONG,18910.35,18809.45,-100.9,-3027.0,-2.02,-8230.5,-5.49,0 days 01:05:00
SHORT,2015-01-13 14:20:00+05:30,2015-01-14 14:15:00+05:30,SHORT,18809.45,18661.8,147.65,4429.5,2.95,-3801.0,-2.53,0 days 23:55:00
LONG,2015-01-14 14:15:00+05:30,2015-01-15 15:20:00+05:30,LONG,18661.8,19142.4,480.6,14418.0,9.61,10617.0,7.08,1 days 01:05:00
SHORT,2015-01-15 15:20:00+05:30,2015-01-19 09:25:00+05:30,SHORT,19142.4,19400.6,-258.2,-7746.0,-5.16,2871.0,1.91,3 days 18:05:00
LONG,2015-01-19 09:25:00+05:30,2015-01-21 14:15:00+05:30,LONG,19400.6,19820.45,419.85,12595.5,8.4,15466.5,10.31,2 days 04:50:00
SHORT,2015-01-21 14:15:00+05:30,2015-01-22 10:35:00+05:30,SHORT,19820.45,19920.9,-100.45,-3013.5,-2.01,12453.0,8.3,0 days 20:20:00
LONG,2015-01-22 10:35:00+05:30,2015-01-22 13:55:00+05:30,LONG,19920.9,19842.6,-78.3,-2349.0,-1.57,10104.0,6.74,0 days 03:20:00
SHORT,2015-01-22 13:55:00+05:30,2015-01-22 15:15:00+05:30,SHORT,19842.6,19951.85,-109.25,-3277.5,-2.18,6826.5,4.55,0 days 01:20:00
LONG,2015-01-22 15:15:00+05:30,2015-01-23 10:25:00+05:30,LONG,19951.85,19998.45,46.6,1398.0,0.93,8224.5,5.48,0 days 19:10:00
SHORT,2015-01-23 10:25:00+05:30,2015-01-27 09:15:00+05:30,SHORT,19998.45,20140.7,-142.25,-4267.5,-2.84,3957.0,2.64,3 days 22:50:00
LONG,2015-01-27 09:15:00+05:30,2015-01-28 12:40:00+05:30,LONG,20140.7,20712.2,571.5,17145.0,11.43,21102.0,14.07,1 days 03:25:00
SHORT,2015-01-28 12:40:00+05:30,2015-01-29 15:00:00+05:30,SHORT,20712.2,20577.95,134.25,4027.5,2.68,25129.5,16.75,1 days 02:20:00
LONG,2015-01-29 15:00:00+05:30,2015-01-30 11:05:00+05:30,LONG,20577.95,20371.65,-206.3,-6189.0,-4.13,18940.5,12.63,0 days 20:05:00
SHORT,2015-01-30 11:05:00+05:30,2015-02-02 13:25:00+05:30,SHORT,20371.65,19701.6,670.05,20101.5,13.4,39042.0,26.03,3 days 02:20:00
LONG,2015-02-02 13:25:00+05:30,2015-02-03 10:15:00+05:30,LONG,19701.6,19742.05,40.45,1213.5,0.81,40255.5,26.84,0 days 20:50:00
SHORT,2015-02-03 10:15:00+05:30,2015-02-04 13:05:00+05:30,SHORT,19742.05,19323.0,419.05,12571.5,8.38,52827.0,35.22,1 days 02:50:00
LONG,2015-02-04 13:05:00+05:30,2015-02-04 15:15:00+05:30,LONG,19323.0,19142.1,-180.9,-5427.0,-3.62,47400.0,31.6,0 days 02:10:00
SHORT,2015-02-04 15:15:00+05:30,2015-02-05 10:00:00+05:30,SHORT,19142.1,19285.0,-142.9,-4287.0,-2.86,43113.0,28.74,0 days 18:45:00
LONG,2015-02-05 10:00:00+05:30,2015-02-05 14:50:00+05:30,LONG,19285.0,19270.5,-14.5,-435.0,-0.29,42678.0,28.45,0 days 04:50:00
SHORT,2015-02-05 14:50:00+05:30,2015-02-06 12:20:00+05:30,SHORT,19270.5,19010.9,259.6,7788.0,5.19,50466.0,33.64,0 days 21:30:00
LONG,2015-02-06 12:20:00+05:30,2015-02-06 14:30:00+05:30,LONG,19010.9,18829.5,-181.4,-5442.0,-3.63,45024.0,30.02,0 days 02:10:00
SHORT,2015-02-06 14:30:00+05:30,2015-02-10 09:20:00+05:30,SHORT,18829.5,18561.35,268.15,8044.5,5.36,53068.5,35.38,3 days 18:50:00
LONG,2015-02-10 09:20:00+05:30,2015-02-10 12:15:00+05:30,LONG,18561.35,18701.9,140.55,4216.5,2.81,57285.0,38.19,0 days 02:55:00
SHORT,2015-02-10 12:15:00+05:30,2015-02-10 14:45:00+05:30,SHORT,18701.9,18684.5,17.4,522.0,0.35,57807.0,38.54,0 days 02:30:00
LONG,2015-02-10 14:45:00+05:30,2015-02-12 09:30:00+05:30,LONG,18684.5,18882.5,198.0,5940.0,3.96,63747.0,42.5,1 days 18:45:00
SHORT,2015-02-12 09:30:00+05:30,2015-02-12 14:00:00+05:30,SHORT,18882.5,18906.4,-23.9,-717.0,-0.48,63030.0,42.02,0 days 04:30:00
LONG,2015-02-12 14:00:00+05:30,2015-02-16 11:20:00+05:30,LONG,18906.4,19306.55,400.15,12004.5,8.0,75034.5,50.02,3 days 21:20:00
SHORT,2015-02-16 11:20:00+05:30,2015-02-18 10:00:00+05:30,SHORT,19306.55,19300.4,6.15,184.5,0.12,75219.0,50.15,1 days 22:40:00
LONG,2015-02-18 10:00:00+05:30,2015-02-19 10:35:00+05:30,LONG,19300.4,19217.85,-82.55,-2476.5,-1.65,72742.5,48.5,1 days 00:35:00
SHORT,2015-02-19 10:35:00+05:30,2015-02-19 14:45:00+05:30,SHORT,19217.85,19040.35,177.5,5325.0,3.55,78067.5,52.04,0 days 04:10:00
