Year,PnL INR,Points,Trades,Return %,Avg PnL/Trade
2015,111960.0,3732.0,328,74.64,341.34
2016,95815.5,3193.85,292,63.88,328.14
2017,102360.0,3412.0,259,68.24,395.21
2018,274512.0,9150.4,278,183.01,987.45
2019,224301.0,7476.7,303,149.53,740.27
2020,654468.0,21815.6,314,436.31,2084.29
2021,38980.5,1299.35,337,25.99,115.67
2022,506052.0,16868.4,337,337.37,1501.64
2023,292941.0,9764.7,277,195.29,1057.55
2024,-189184.5,-6306.15,307,-126.12,-616.24
2025,271459.5,9048.65,286,180.97,949.16
2026,483105.0,16103.5,134,322.07,3605.26
