Trade,Drawdown
0,0.0
1,-185.25
2,-1976.0
3,-188.5
4,0.0
5,0.0
6,-6311.5
7,-7874.75
8,-9626.5
9,0.0
10,-2015.0
11,0.0
12,-2691.0
13,-4023.5
14,-6422.0
15,-1166.75
16,0.0
17,0.0
18,0.0
19,-2193.75
20,-4335.5
21,-8888.75
22,-10936.25
23,-10705.5
24,0.0
25,-1332.5
26,-2489.5
27,-650.0
28,-3549.0
29,0.0
30,-1719.25
31,-1514.5
32,-1872.0
33,-3061.5
34,-6162.0
35,-9334.0
36,-5534.75
37,-7689.5
38,-11657.75
39,-12535.25
40,-8713.25
41,-185.25
42,-4520.75
43,-14144.0
44,-22074.0
45,-23075.0
46,-26477.75
47,-21352.5
48,-13962.0
49,-18710.25
50,-12171.25
51,-15187.25
52,-17982.25
53,-20322.25
54,-24264.5
55,-25532.0
56,-20377.5
57,-18534.75
58,-19600.75
59,-21235.5
60,-25197.25
61,-25623.0
62,-16136.25
63,-17423.25
64,-18856.5
65,-20731.75
66,-7192.25
67,0.0
68,-81.25
69,0.0
70,-91.0
71,0.0
72,-2733.25
73,-5183.75
74,-8713.25
75,-10123.75
76,-12379.25
77,-10572.25
78,-11869.0
79,-15320.5
80,-9841.0
81,-11839.75
82,0.0
83,-3201.25
84,0.0
85,0.0
86,0.0
87,-4173.0
88,0.0
89,-3831.75
90,-6123.0
91,-6392.75
92,-8622.25
93,-10591.75
94,-7283.25
95,-2249.0
96,-6321.25
97,-7348.25
98,0.0
99,-4624.75
100,-10621.0
101,-2603.25
102,-617.5
103,-5515.25
104,-8336.25
105,-11180.0
106,-15382.25
107,-7172.75
108,-10133.5
109,-9428.25
110,-11050.0
111,-12636.0
112,-14465.75
113,-12798.5
114,-6269.25
115,-9932.0
116,-12278.5
117,-13591.5
118,-15528.5
119,-16841.5
120,-16757.0
121,-12606.75
122,-15060.5
123,-14020.5
124,0.0
125,0.0
126,0.0
127,-3363.75
128,-6665.75
129,-4787.25
130,0.0
131,-2249.0
132,-3893.5
133,-2551.25
134,-1527.5
135,0.0
136,-3958.5
137,0.0
138,-2024.75
139,-2765.75
140,-5798.0
141,-1199.25
142,-4498.0
143,-6392.75
144,-9343.75
145,-10767.25
146,-10520.25
147,-10185.5
148,-9938.5
149,-20364.5
150,-22184.5
151,-9113.0
152,-10754.25
153,-11618.75
154,-10929.75
155,-6880.25
156,-487.5
157,-4829.5
158,-5811.0
159,-8391.5
160,-10149.75
161,-4774.25
162,-6714.5
163,0.0
164,-1683.5
165,-2866.5
166,-1423.5
167,-923.0
168,0.0
169,0.0
170,0.0
171,-3181.75
172,-4566.25
173,-646.75
174,-3604.25
175,0.0
176,-136.5
177,-5629.0
178,-9584.25
179,-6922.5
180,-8970.0
181,-10302.5
182,-12138.75
183,-12567.75
184,-1673.75
185,-5547.75
186,-8307.0
187,-12359.75
188,-16250.0
189,-12506.0
190,-14267.5
191,-14407.25
192,-15021.5
193,-16269.5
194,-4098.25
195,-21388.25
196,-13058.5
197,-21745.75
198,-23712.0
199,-22431.5
200,-30039.75
201,-34414.25
202,-36539.75
203,-27287.0
204,-27316.25
205,-30793.75
206,-21112.0
207,-24963.25
208,-24904.75
209,-25437.75
210,-20998.25
211,-26338.0
212,-26299.0
213,-14095.25
214,-11846.25
215,-10565.75
216,-13939.25
217,-14277.25
218,-16981.25
219,-16445.0
220,-22740.25
221,-20010.25
222,-16909.75
223,-17176.25
224,-7302.75
225,-7917.0
226,-10920.0
227,-12671.75
228,-15684.5
229,-18395.0
230,-21596.25
231,-25922.0
232,-23487.75
233,-18057.0
234,-21628.75
235,-19519.5
236,-24934.0
237,-20208.5
238,-22100.0
239,-21303.75
240,-23049.0
241,-24706.5
242,-28470.0
243,-29454.75
244,-29848.0
245,-31866.25
246,-29705.0
247,-31489.25
248,-33098.0
249,-34671.0
250,-37973.0
251,-37602.5
252,-38577.5
253,-33553.0
254,-35688.25
255,-36920.0
256,-37394.5
257,-37784.5
258,-37011.0
259,-34862.75
260,-36861.5
261,-39780.0
262,-33088.25
263,-35230.0
264,-35191.0
265,-37089.0
266,-31726.5
267,-29250.0
268,-32087.25
269,-35119.5
270,-32578.0
271,-34661.25
272,-34612.5
273,-38142.0
274,-40306.5
275,-51402.0
276,-57057.0
277,-57265.0
278,-54405.0
279,-59949.5
280,-60921.25
281,-62757.5
282,-64285.0
283,-62097.75
284,-64626.25
285,-66790.75
286,-68445.0
287,-69212.0
288,-66462.5
289,-60063.25
290,-59237.75
291,-60823.75
292,-62452.0
293,-59575.75
294,-61317.75
295,-61210.5
296,-63235.25
297,-66192.75
298,-67466.75
299,-70086.25
300,-69842.5
301,-70593.25
302,-65731.25
303,-66930.5
304,-68565.25
305,-71769.75
306,-65422.5
307,-67044.25
308,-66641.25
309,-67171.0
310,-68113.5
311,-61434.75
312,-63482.25
313,-66030.25
314,-67941.25
315,-65188.5
316,-64077.0
317,-63076.0
318,-64944.75
319,-65994.5
320,-67099.5
321,-66092.0
322,-66491.75
323,-62741.25
324,-63180.0
325,-63384.75
326,-62894.0
327,-63778.0
328,-64860.25
329,-64090.0
330,-65263.25
331,-67619.5
332,-61941.75
333,-65357.5
334,-67223.0
335,-68591.25
336,-58555.25
337,-60446.75
338,-57824.0
339,-57889.0
340,-58519.5
341,-60079.5
342,-57066.75
343,-59423.0
344,-64129.0
345,-63033.75
346,-55396.25
347,-59263.75
348,-61334.0
349,-66709.5
350,-65107.25
351,-64554.75
352,-64454.0
353,-54778.75
354,-55692.0
355,-57040.75
356,-57206.5
357,-58217.25
358,-60775.0
359,-54964.0
360,-55815.5
361,-58636.5
362,-51080.25
363,-53745.25
364,-56995.25
365,-57924.75
366,-59130.5
367,-56293.25
368,-46601.75
369,-50459.5
370,-49598.25
371,-54440.75
372,-40322.75
373,-28691.0
374,-22187.75
375,-13549.25
376,-15128.75
377,-17195.75
378,-19509.75
379,-18476.25
380,-9779.25
381,-11804.0
382,-10988.25
383,-12610.0
384,-14712.75
385,0.0
386,-2876.25
387,-4693.0
388,-5648.5
389,-8882.25
390,-11202.75
391,-9746.75
392,-9100.0
393,-7423.0
394,-7793.5
395,-7325.5
396,-2223.0
397,0.0
398,0.0
399,0.0
400,-1852.5
401,-809.25
402,-1196.0
403,-1469.0
404,-3064.75
405,-4436.25
406,-1849.25
407,-5086.25
408,-7374.25
409,-9311.25
410,-13325.0
411,-7852.0
412,-5538.0
413,-5424.25
414,-7065.5
415,-7702.5
416,-1569.75
417,-3484.0
418,-2925.0
419,-5382.0
420,-5148.0
421,0.0
422,-1693.25
423,0.0
424,-1062.75
425,0.0
426,0.0
427,-1475.5
428,-3474.25
429,0.0
430,-1485.25
431,-4459.0
432,-737.75
433,-4673.5
434,-5495.75
435,-8014.5
436,-9873.5
437,-10016.5
438,-4797.0
439,-7348.25
440,-9405.5
441,-10796.5
442,-12606.75
443,-15541.5
444,-17186.0
445,-9425.0
446,-10760.75
447,-13581.75
448,-16529.5
449,-17309.5
450,-18976.75
451,-19136.0
452,-19591.0
453,-20137.0
454,-15814.5
455,-10283.0
456,-6730.75
457,-6724.25
458,-3393.0
459,-6295.25
460,-7978.75
461,-8567.0
462,-7215.0
463,0.0
464,-981.5
465,-552.5
466,-555.75
467,0.0
468,0.0
469,0.0
470,-107.25
471,-3159.0
472,0.0
473,-481.0
474,-968.5
475,0.0
476,0.0
477,0.0
478,-2765.75
479,-936.0
480,-2297.75
481,-4234.75
482,-4351.75
483,-16311.75
484,-13357.5
485,-6402.5
486,-7764.25
487,-7124.0
488,-10624.25
489,-5317.0
490,-7003.75
491,-3120.0
492,-6464.25
493,-7114.25
494,-5287.75
495,-6269.25
496,-5788.25
497,0.0
498,-1417.0
499,-289.25
500,-1703.0
501,-1660.75
502,-2720.25
503,-1020.5
504,-975.0
505,-2502.5
506,-5473.0
507,-6100.25
508,-3279.25
509,-1199.25
510,-117.0
511,-1868.75
512,-4381.0
513,0.0
514,-949.0
515,-1618.5
516,-1875.25
517,-1631.5
518,-4325.75
519,-6340.75
520,-10318.75
521,-12863.5
522,-11719.5
523,-11839.75
524,-6607.25
525,-1826.5
526,-3610.75
527,-1615.25
528,-939.25
529,-4052.75
530,-1732.25
531,-3565.25
532,-4797.0
533,-1248.0
534,-3539.25
535,-7033.0
536,-8427.25
537,-9480.25
538,-11661.0
539,-11479.0
540,-9798.75
541,-10890.75
542,-11004.5
543,-10946.0
544,-12298.0
545,-11609.0
546,-6886.75
547,-9447.75
548,-12480.0
549,0.0
550,-1176.5
551,-3214.25
552,-4459.0
553,0.0
554,-1998.75
555,-4355.0
556,-5765.5
557,-7299.5
558,-5697.25
559,-7455.5
560,0.0
561,-1192.75
562,-2928.25
563,0.0
564,0.0
565,-767.0
566,-377.0
567,0.0
568,-4829.5
569,-7384.0
570,-9051.25
571,-10169.25
572,-4075.5
573,-5694.0
574,-5456.75
575,-4650.75
576,0.0
577,0.0
578,-1322.75
579,-1872.0
580,0.0
581,0.0
582,0.0
583,-955.5
584,-1345.5
585,0.0
586,-1153.75
587,-2421.25
588,-5525.0
589,-5911.75
590,-5625.75
591,-4218.5
592,-3292.25
593,-6854.25
594,-6792.5
595,-8596.25
596,-6464.25
597,-3750.5
598,-5499.0
599,-5996.25
600,0.0
601,-2388.75
602,-1982.5
603,-2408.25
604,-3809.0
605,-6262.75
606,-8307.0
607,-27764.75
608,-35477.0
609,-20923.5
610,0.0
611,-900.25
612,0.0
613,-1605.5
614,0.0
615,-2915.25
616,-5554.25
617,-5716.75
618,-6838.0
619,-9161.75
620,-12753.0
621,-6821.75
622,-9821.5
623,-9655.75
624,-11521.25
625,-10211.5
626,-5222.75
627,-6646.25
628,-5031.0
629,-653.25
