Month,PnL INR,Points
2015-01,16344.25,251.45000000000002
2015-02,-6513.0,-100.20000000000005
2015-03,25119.25,386.45
2015-04,14959.75,230.14999999999998
2015-05,-2008.5,-30.89999999999999
2015-06,12220.0,188.0
2015-07,37193.0,572.1999999999999
2015-08,-26617.5,-409.5
2015-09,9165.0,140.99999999999997
2015-10,-15460.25,-237.85
2015-11,-24121.5,-371.09999999999997
2015-12,-3649.75,-56.14999999999998
2016-01,4085.25,62.849999999999994
2016-02,46062.25,708.65
2016-03,29159.0,448.6
2016-04,25454.0,391.59999999999997
2016-05,24631.75,378.95
2016-06,9675.25,148.85000000000002
2016-07,2912.0,44.79999999999999
2016-08,6467.5,99.50000000000001
2016-09,12574.25,193.45000000000005
2016-10,15801.5,243.1
2016-11,5063.5,77.90000000000002
2016-12,14761.5,227.09999999999997
2017-01,2544.75,39.15000000000003
2017-02,5694.0,87.6
2017-03,6808.75,104.75
2017-04,19041.75,292.95
2017-05,-15804.75,-243.15
2017-06,607.75,9.350000000000009
2017-07,13266.5,204.1
2017-08,5141.5,79.1
2017-09,13754.0,211.60000000000002
2017-10,-46891.0,-721.4
2017-11,-14241.5,-219.10000000000002
2017-12,22077.25,339.65
2018-01,27088.75,416.75
2018-02,48772.75,750.3499999999999
2018-03,33156.5,510.1
2018-04,8615.75,132.55
2018-05,14599.0,224.59999999999997
2018-06,16848.0,259.2
2018-07,-5352.75,-82.35000000000004
2018-08,-175.5,-2.700000000000033
2018-09,17488.25,269.05
2018-10,-32938.75,-506.75000000000006
2018-11,39572.0,608.8
2018-12,16750.5,257.7
2019-01,65.0,0.9999999999999858
2019-02,13123.5,201.9
2019-03,16724.5,257.3
2019-04,22750.0,350.0
2019-05,25502.75,392.35
2019-06,32529.25,500.45
2019-07,47583.25,732.05
2019-08,38135.5,586.6999999999999
2019-09,5161.0,79.39999999999998
2019-10,-21235.5,-326.70000000000005
2019-11,-17988.75,-276.75
2019-12,-3295.5,-50.69999999999999
2020-01,-27855.75,-428.55
2020-02,49793.25,766.05
2020-03,133347.5,2051.5
2020-04,-40264.25,-619.4499999999999
2020-05,-8079.5,-124.30000000000005
2020-06,100252.75,1542.3500000000001
2020-07,43897.75,675.35
2020-08,42.25,0.6500000000000483
2020-09,21131.5,325.1
2020-10,28099.5,432.3
2020-11,13594.75,209.14999999999998
2020-12,27976.0,430.40000000000003
2021-01,21092.5,324.49999999999994
2021-02,70934.5,1091.3
2021-03,38025.0,585.0
2021-04,52533.0,808.2
2021-05,49335.0,759.0
2021-06,18531.5,285.09999999999997
2021-07,20286.5,312.09999999999997
2021-08,11716.25,180.25
2021-09,13656.5,210.10000000000002
2021-10,15840.5,243.70000000000002
2021-11,-9327.5,-143.50000000000003
2021-12,53462.5,822.5000000000001
2022-01,-4176.25,-64.25000000000001
2022-02,34957.0,537.8
2022-03,89693.5,1379.9
2022-04,10523.5,161.90000000000006
2022-05,10601.5,163.09999999999994
2022-06,-29926.0,-460.3999999999999
2022-07,51782.25,796.6500000000001
2022-08,-1326.0,-20.39999999999995
2022-09,-11485.5,-176.69999999999996
2022-10,-23744.5,-365.3
2022-11,34443.5,529.8999999999999
2022-12,-3848.0,-59.19999999999999
2023-01,-52650.0,-810.0
2023-02,41528.5,638.9
2023-03,-13136.5,-202.10000000000002
2023-04,2106.0,32.4
2023-05,69020.25,1061.8500000000001
2023-06,3094.0,47.60000000000001
2023-07,-21394.75,-329.15
2023-08,-7780.5,-119.69999999999999
2023-09,48256.0,742.4
2023-10,51333.75,789.75
2023-11,8862.75,136.35
2023-12,86258.25,1327.05
2024-01,45899.75,706.15
2024-02,-32587.75,-501.34999999999997
2024-03,9512.75,146.35000000000002
2024-04,-21768.5,-334.9
2024-05,-12671.75,-194.94999999999993
2024-06,3246.75,49.94999999999989
2024-07,-28015.0,-431.0
2024-08,-44609.5,-686.3000000000001
2024-09,15353.0,236.20000000000007
2024-10,83047.25,1277.65
2024-11,105657.5,1625.5
2024-12,40914.25,629.4499999999999
2025-01,-57291.0,-881.4000000000001
2025-02,-38155.0,-587.0
2025-03,-9564.75,-147.15
2025-04,29207.75,449.3500000000001
2025-05,12834.25,197.44999999999993
2025-06,14066.0,216.39999999999995
2025-07,33361.25,513.25
2025-08,58305.0,897.0
2025-09,26347.75,405.34999999999997
2025-10,-36491.0,-561.4
2025-11,27452.75,422.35
2025-12,22821.5,351.09999999999997
2026-01,15479.75,238.14999999999998
2026-02,93327.0,1435.8
2026-03,127166.0,1956.4
2026-04,190586.5,2932.1
2026-05,25707.5,395.5
2026-06,38255.75,588.5500000000001
