Type,Entry Time,Exit Time,Entry Price,Exit Price,Points,PnL INR,Cumulative PnL INR
SHORT,2015-01-09 11:30:00+05:30,2015-01-09 12:55:00+05:30,8255.55,8265.85,-10.3,-669.5,-669.5
LONG,2015-01-09 12:55:00+05:30,2015-01-12 12:15:00+05:30,8265.85,8263.0,-2.85,-185.25,-854.75
SHORT,2015-01-12 12:15:00+05:30,2015-01-12 14:00:00+05:30,8263.0,8290.55,-27.55,-1790.75,-2645.5
LONG,2015-01-12 14:00:00+05:30,2015-01-13 14:25:00+05:30,8290.55,8318.05,27.5,1787.5,-858.0
SHORT,2015-01-13 14:25:00+05:30,2015-01-14 14:15:00+05:30,8318.05,8292.2,25.85,1680.25,822.25
LONG,2015-01-14 14:15:00+05:30,2015-01-15 15:20:00+05:30,8292.2,8463.55,171.35,11137.75,11960.0
SHORT,2015-01-15 15:20:00+05:30,2015-01-19 09:25:00+05:30,8463.55,8560.65,-97.1,-6311.5,5648.5
LONG,2015-01-19 09:25:00+05:30,2015-01-19 12:15:00+05:30,8560.65,8536.6,-24.05,-1563.25,4085.25
SHORT,2015-01-19 12:15:00+05:30,2015-01-19 13:50:00+05:30,8536.6,8563.55,-26.95,-1751.75,2333.5
LONG,2015-01-19 13:50:00+05:30,2015-01-22 14:00:00+05:30,8563.55,8740.95,177.4,11531.0,13864.5
SHORT,2015-01-22 14:00:00+05:30,2015-01-22 15:15:00+05:30,8740.95,8771.95,-31.0,-2015.0,11849.5
LONG,2015-01-22 15:15:00+05:30,2015-01-23 10:45:00+05:30,8771.95,8805.45,33.5,2177.5,14027.0
SHORT,2015-01-23 10:45:00+05:30,2015-01-23 15:00:00+05:30,8805.45,8846.85,-41.4,-2691.0,11336.0
LONG,2015-01-23 15:00:00+05:30,2015-01-27 12:00:00+05:30,8846.85,8826.35,-20.5,-1332.5,10003.5
SHORT,2015-01-27 12:00:00+05:30,2015-01-27 13:30:00+05:30,8826.35,8863.25,-36.9,-2398.5,7605.0
LONG,2015-01-27 13:30:00+05:30,2015-01-28 12:40:00+05:30,8863.25,8944.1,80.85,5255.25,12860.25
SHORT,2015-01-28 12:40:00+05:30,2015-01-29 12:05:00+05:30,8944.1,8897.5,46.6,3029.0,15889.25
LONG,2015-01-29 12:05:00+05:30,2015-01-30 10:55:00+05:30,8897.5,8904.5,7.0,455.0,16344.25
SHORT,2015-01-30 10:55:00+05:30,2015-02-02 13:30:00+05:30,8904.5,8792.75,111.75,7263.75,23608.0
LONG,2015-02-02 13:30:00+05:30,2015-02-03 11:45:00+05:30,8792.75,8759.0,-33.75,-2193.75,21414.25
SHORT,2015-02-03 11:45:00+05:30,2015-02-03 13:50:00+05:30,8759.0,8791.95,-32.95,-2141.75,19272.5
LONG,2015-02-03 13:50:00+05:30,2015-02-04 10:40:00+05:30,8791.95,8721.9,-70.05,-4553.25,14719.25
SHORT,2015-02-04 10:40:00+05:30,2015-02-05 10:00:00+05:30,8721.9,8753.4,-31.5,-2047.5,12671.75
LONG,2015-02-05 10:00:00+05:30,2015-02-05 14:55:00+05:30,8753.4,8756.95,3.55,230.75,12902.5
SHORT,2015-02-05 14:55:00+05:30,2015-02-10 09:40:00+05:30,8756.95,8581.1,175.85,11430.25,24332.75
LONG,2015-02-10 09:40:00+05:30,2015-02-10 12:15:00+05:30,8581.1,8560.6,-20.5,-1332.5,23000.25
SHORT,2015-02-10 12:15:00+05:30,2015-02-10 14:50:00+05:30,8560.6,8578.4,-17.8,-1157.0,21843.25
LONG,2015-02-10 14:50:00+05:30,2015-02-12 11:30:00+05:30,8578.4,8606.7,28.3,1839.5,23682.75
SHORT,2015-02-12 11:30:00+05:30,2015-02-12 14:10:00+05:30,8606.7,8651.3,-44.6,-2899.0,20783.75
LONG,2015-02-12 14:10:00+05:30,2015-02-16 11:25:00+05:30,8651.3,8822.4,171.1,11121.5,31905.25
SHORT,2015-02-16 11:25:00+05:30,2015-02-18 10:00:00+05:30,8822.4,8848.85,-26.45,-1719.25,30186.0
LONG,2015-02-18 10:00:00+05:30,2015-02-19 10:40:00+05:30,8848.85,8852.0,3.15,204.75,30390.75
SHORT,2015-02-19 10:40:00+05:30,2015-02-19 14:45:00+05:30,8852.0,8857.5,-5.5,-357.5,30033.25
LONG,2015-02-19 14:45:00+05:30,2015-02-20 09:30:00+05:30,8857.5,8839.2,-18.3,-1189.5,28843.75
SHORT,2015-02-20 09:30:00+05:30,2015-02-20 13:30:00+05:30,8839.2,8886.9,-47.7,-3100.5,25743.25
LONG,2015-02-20 13:30:00+05:30,2015-02-20 13:55:00+05:30,8886.9,8838.1,-48.8,-3172.0,22571.25
SHORT,2015-02-20 13:55:00+05:30,2015-02-24 13:25:00+05:30,8838.1,8779.65,58.45,3799.25,26370.5
LONG,2015-02-24 13:25:00+05:30,2015-02-24 14:25:00+05:30,8779.65,8746.5,-33.15,-2154.75,24215.75
SHORT,2015-02-24 14:25:00+05:30,2015-02-25 09:15:00+05:30,8746.5,8807.55,-61.05,-3968.25,20247.5
LONG,2015-02-25 09:15:00+05:30,2015-02-25 13:55:00+05:30,8807.55,8794.05,-13.5,-877.5,19370.0
SHORT,2015-02-25 13:55:00+05:30,2015-02-27 09:15:00+05:30,8794.05,8735.25,58.8,3822.0,23192.0
LONG,2015-02-27 09:15:00+05:30,2015-02-28 11:35:00+05:30,8735.25,8866.45,131.2,8528.0,31720.0
SHORT,2015-02-28 11:35:00+05:30,2015-02-28 12:15:00+05:30,8866.45,8933.15,-66.7,-4335.5,27384.5
LONG,2015-02-28 12:15:00+05:30,2015-02-28 13:15:00+05:30,8933.15,8785.1,-148.05,-9623.25,17761.25
SHORT,2015-02-28 13:15:00+05:30,2015-02-28 15:10:00+05:30,8785.1,8907.1,-122.0,-7930.0,9831.25
LONG,2015-02-28 15:10:00+05:30,2015-03-02 11:40:00+05:30,8907.1,8891.7,-15.4,-1001.0,8830.25
SHORT,2015-03-02 11:40:00+05:30,2015-03-02 15:00:00+05:30,8891.7,8944.05,-52.35,-3402.75,5427.5
LONG,2015-03-02 15:00:00+05:30,2015-03-04 12:00:00+05:30,8944.05,9022.9,78.85,5125.25,10552.75
SHORT,2015-03-04 12:00:00+05:30,2015-03-05 13:55:00+05:30,9022.9,8909.2,113.7,7390.5,17943.25
LONG,2015-03-05 13:55:00+05:30,2015-03-09 09:15:00+05:30,8909.2,8836.15,-73.05,-4748.25,13195.0
SHORT,2015-03-09 09:15:00+05:30,2015-03-11 09:25:00+05:30,8836.15,8735.55,100.6,6539.0,19734.0
LONG,2015-03-11 09:25:00+05:30,2015-03-11 11:30:00+05:30,8735.55,8689.15,-46.4,-3016.0,16718.0
SHORT,2015-03-11 11:30:00+05:30,2015-03-11 14:15:00+05:30,8689.15,8732.15,-43.0,-2795.0,13923.0
LONG,2015-03-11 14:15:00+05:30,2015-03-11 15:10:00+05:30,8732.15,8696.15,-36.0,-2340.0,11583.0
SHORT,2015-03-11 15:10:00+05:30,2015-03-12 09:20:00+05:30,8696.15,8756.8,-60.65,-3942.25,7640.75
LONG,2015-03-12 09:20:00+05:30,2015-03-13 10:05:00+05:30,8756.8,8737.3,-19.5,-1267.5,6373.25
SHORT,2015-03-13 10:05:00+05:30,2015-03-16 14:25:00+05:30,8737.3,8658.0,79.3,5154.5,11527.75
LONG,2015-03-16 14:25:00+05:30,2015-03-17 12:05:00+05:30,8658.0,8686.35,28.35,1842.75,13370.5
SHORT,2015-03-17 12:05:00+05:30,2015-03-17 15:00:00+05:30,8686.35,8702.75,-16.4,-1066.0,12304.5
LONG,2015-03-17 15:00:00+05:30,2015-03-18 13:50:00+05:30,8702.75,8677.6,-25.15,-1634.75,10669.75
SHORT,2015-03-18 13:50:00+05:30,2015-03-19 09:15:00+05:30,8677.6,8738.55,-60.95,-3961.75,6708.0
LONG,2015-03-19 09:15:00+05:30,2015-03-19 11:30:00+05:30,8738.55,8732.0,-6.55,-425.75,6282.25
SHORT,2015-03-19 11:30:00+05:30,2015-03-24 10:50:00+05:30,8732.0,8586.05,145.95,9486.75,15769.0
LONG,2015-03-24 10:50:00+05:30,2015-03-24 13:15:00+05:30,8586.05,8566.25,-19.8,-1287.0,14482.0
SHORT,2015-03-24 13:15:00+05:30,2015-03-24 13:55:00+05:30,8566.25,8588.3,-22.05,-1433.25,13048.75
LONG,2015-03-24 13:55:00+05:30,2015-03-24 14:45:00+05:30,8588.3,8559.45,-28.85,-1875.25,11173.5
SHORT,2015-03-24 14:45:00+05:30,2015-03-27 13:35:00+05:30,8559.45,8351.15,208.3,13539.5,24713.0
LONG,2015-03-27 13:35:00+05:30,2015-03-31 14:15:00+05:30,8351.15,8508.65,157.5,10237.5,34950.5
